,20101,20102,20103,20104,20105,20106,20107,20108,20109,20110,20111,20112,201121,201122,201123,20201,20202,202021,202022,20301,20302,20303,20304,20401,204011,204012,204013,20402,20403,20404,20405,204051,204052,204053,20406,20501,20502,20503,20504,20505,20506,20507,20508,20601,20602,20603,20604,20701,20702,207021,207022,207023,20703,20801,20802,20803,20901,20902,209021,209022,209023,209024,209025,209026,209027,209028,20903,20904,209041,209042,209043,209044,21001,210011,210012,210013,210014,210015,21002,21003,21004
都道府県,穀類,魚介類,肉類,乳卵類,野菜・海藻,果物,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,一般外食,学校給食,賄い費,家賃地代,設備修繕・維持,設備材料,工事その他のサービス,電気代,ガス代,他の光熱,上下水道料,家庭用耐久財,家事用耐久財,冷暖房用器具,一般家具,室内装備・装飾品,寝具類,家事雑貨,家事用消耗品,ティッシュペーパー・トイレットペーパー,洗剤,他の家事用消耗品,家事サービス,和服,洋服,シャツ・セーター類,下着類,生地・糸類,他の被服,履物類,被服関連サービス,医薬品,健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通,自動車等関係費,自動車等購入,自転車購入,自動車等維持,通信,授業料等,教科書・学習参考教材,補習教育,教養娯楽用耐久財,教養娯楽用品,文房具,運動用具類,玩具,切り花,他の教養娯楽用品,動物病院代,他のペット関連サービス,教養娯楽用品修理代,書籍・他の印刷物,教養娯楽サービス,宿泊料,パック旅行費,月謝類,他の教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,こづかい（使途不明）,交際費,仕送り金
長野県,5440,5136,5113,3166,7161,3623,3277,5434,9258,3794,2822,12489,11452,1037,0,9552,7086,1573,5513,7790,3455,2066,6061,3463,2058,1167,238,692,799,2364,2141,364,494,1284,892,90,3731,1258,855,97,789,1152,398,2258,1065,1646,5982,4117,21084,3381,36,17667,13548,3223,104,985,1322,5146,547,1014,355,378,2338,260,221,34,3697,16348,2917,2726,1404,9301,20550,2658,3324,1016,1010,12541,4006,9124,9746
岐阜県,5325,4410,5557,2951,6631,2890,3032,5605,8674,3846,2242,12867,11958,909,0,10383,9147,3648,5499,9249,3469,961,4494,2038,1255,523,260,469,501,1848,2108,328,510,1270,758,25,4255,1683,751,49,684,938,360,2140,1207,1961,6689,3981,20610,3442,85,17083,13605,3810,59,1181,1504,4390,373,841,375,418,1941,307,134,1,2651,16315,2993,2809,1773,8739,20089,2701,3656,868,1075,11789,6914,7158,6269
静岡県,5469,5271,5298,2959,7391,2766,2969,5478,10807,3971,2164,11428,10711,717,0,11497,9033,2247,6786,9263,4311,468,4145,2236,1300,484,452,861,656,1980,2045,304,538,1203,980,27,3572,1429,790,109,664,997,623,2285,1291,2250,7093,4298,17285,2116,81,15088,12448,3500,39,801,1206,5155,458,855,552,359,2465,281,182,2,3079,13671,1206,2570,1886,8009,21063,2376,3164,1035,1299,13189,5449,8698,4518
愛知県,5203,4059,5245,2860,6215,2357,2814,5467,9241,4065,1912,14259,13546,713,0,15303,7702,1137,6565,8437,3683,311,3817,2060,916,943,201,532,1044,2069,1972,326,512,1133,576,83,4809,1725,842,92,675,1249,620,1807,934,1841,6900,4628,20844,4095,287,16461,12479,7232,51,1449,1762,5135,415,1060,519,374,2113,434,211,8,2915,16119,1596,3075,2176,9272,21496,3149,3778,1965,1165,11438,5613,7913,4036
三重県,5045,4889,6078,2857,6458,2614,2869,5605,8615,3394,2051,11353,10690,663,0,8521,3637,1259,2378,9323,3766,738,4936,2565,1864,629,72,783,873,2255,1879,308,494,1078,932,14,4536,1346,723,83,553,802,556,2123,751,1654,6563,3430,18394,2425,166,15803,13496,4322,66,1704,1033,5003,403,1020,445,477,1985,434,209,30,3008,16236,1649,2532,2267,9788,20004,2380,3543,1044,1232,11805,5910,8664,5898
滋賀県,5102,4618,6552,2760,6435,2396,2952,5458,10232,3930,2338,12574,11931,637,6,14390,9961,4606,5355,8111,3019,705,5187,2322,1007,690,625,579,455,2169,1849,307,460,1081,367,19,3897,1482,893,115,1044,857,433,2361,702,1862,7938,5710,17004,1351,325,15328,13081,4862,74,1862,1858,5309,440,945,459,1067,2016,269,112,1,2907,15010,1627,1813,2231,9338,19071,2863,2975,991,1031,11212,5201,9708,3136
京都府,5092,5089,6461,2888,7014,2519,2868,5300,8669,3192,2484,15609,15092,516,0,14078,6218,1121,5098,7924,3349,321,4706,3103,1966,467,670,2503,637,2369,1854,299,432,1123,653,176,5532,1654,888,131,838,1376,379,1955,1166,1683,7388,7062,10156,119,284,9753,12236,6130,47,1542,1553,4475,404,684,353,684,2041,211,92,7,3089,16878,2127,3332,2076,9343,18042,2867,3605,1297,705,9567,8377,8161,2823
大阪府,4955,4333,5738,2695,6340,2475,2635,4881,9694,3461,2313,13417,12927,489,2,19978,7969,1024,6945,7698,3203,150,3891,1714,1062,303,349,584,495,1887,1869,323,444,1102,351,65,4199,1321,657,75,676,1009,374,1949,978,1920,6325,6303,10524,1012,588,8924,12253,7552,60,1226,1146,5063,362,921,417,538,1790,781,245,10,2802,14730,1268,2154,1803,9506,18406,2683,2996,1312,1221,10193,4987,8489,2706
兵庫県,5425,4491,6011,2948,6636,2686,2906,5153,9618,3903,2469,11980,11431,549,0,13573,6971,1613,5358,8033,3063,385,4279,1892,1204,460,228,554,534,1885,1877,303,435,1139,435,82,4722,1523,695,104,830,996,426,2058,1025,1789,8178,6945,17941,4608,89,13243,12025,7814,48,2084,1435,4707,446,831,459,532,1957,309,168,5,3299,15593,1556,2499,2479,9059,25108,2702,3291,1579,849,16686,5251,12728,3112
奈良県,6083,4876,6876,3127,6924,2633,3036,5546,9309,3595,2287,12454,11754,699,0,10073,6091,681,5409,8648,3126,515,5352,2647,1476,643,528,597,568,2105,1910,332,461,1116,645,106,4911,1625,938,104,775,990,574,1862,925,1404,7566,5433,18096,3311,219,14566,12752,7808,129,1878,1083,5615,467,720,369,530,2888,412,211,18,3454,14857,1471,2878,1731,8777,21770,2819,3748,1109,952,13143,6266,9312,4733
和歌山県,5487,4911,6604,2892,6317,2529,2945,4579,8303,3250,2402,9296,8558,738,0,7074,5227,1788,3439,9578,2627,736,3606,2491,1281,926,284,616,517,1673,1987,311,500,1176,1508,0,4108,1706,872,74,648,1041,510,1718,674,1122,6951,3411,15149,1259,14,13876,12513,4484,65,675,1214,4252,415,696,225,623,1900,211,171,10,2679,12039,1012,1911,1522,7593,18219,2342,3502,775,926,10674,5169,8055,4151
鳥取県,5048,5137,5715,3104,6558,2750,3115,4990,8725,3366,2942,9708,8702,1005,0,9044,6893,1965,4928,9743,2986,938,4515,2575,1102,1004,469,599,531,1896,1965,322,456,1187,966,45,4300,1355,645,72,607,966,579,2018,943,1655,8434,2398,24626,6696,104,17826,12613,1514,56,694,926,4402,452,946,410,394,1886,254,55,4,2451,14726,1143,2222,1476,9886,20830,2251,2952,793,932,13902,4080,7207,12879
島根県,5688,4613,5525,3138,7067,2678,3046,5263,8699,3478,2894,10718,9656,1062,0,9405,5727,673,5054,10044,3437,806,5381,2177,1231,715,231,553,495,1854,1976,318,408,1251,1154,55,5487,1238,744,73,655,1113,673,2103,872,1676,5896,3117,19323,2569,27,16728,13493,3772,149,575,1512,4782,437,839,316,596,1902,504,179,9,3341,14225,1351,2345,1689,8840,27182,2797,4085,1006,943,18352,6045,10422,8666
岡山県,5365,4361,5615,2796,5906,2424,2774,5050,9275,3834,2238,11485,10819,666,0,10013,8050,3458,4593,8982,2887,660,4538,2122,1589,401,132,809,466,2101,1936,288,536,1112,997,43,4583,1777,796,84,793,1080,1081,1856,1361,1893,6430,3533,26436,11077,64,15296,12862,4610,40,852,961,4823,379,911,474,345,2151,333,215,15,2577,12658,1357,2100,1670,7531,20387,2345,3874,1532,1052,11585,9547,7678,7984
